5744,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5745,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5746,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5747,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5748,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5749,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5750,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5751,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5752,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5753,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5755,111,111,111,,0,1,111,111,1,1,1,0,0,0,0,1
5756,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5757,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5758,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5759,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5760,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5761,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5763,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5764,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5765,12,12,12,,0,1,12,12,1,1,1,0,0,0,0,1
5767,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5769,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5770,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5772,112,122,112,2,1,1,122,122,1,0,0,0,0,1,0,1
5775,111,111,111,,0,1,111,111,1,1,1,0,0,0,0,1
5776,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5777,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5778,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5779,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5780,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5781,12,12,12,,0,1,12,12,1,1,1,0,0,0,0,1
5783,11,12,11,2,1,1,12,12,1,0,0,0,0,1,0,1
5784,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5786,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5787,113,123,113,2,1,1,123,112,0,0,0,0,0,1,0,0
5788,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5789,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5790,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5791,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5792,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5793,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5794,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5795,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5796,22,22,22,,0,1,22,22,1,1,1,0,0,0,0,1
5799,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5801,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5802,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5803,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5804,122,122,122,,0,1,122,22,0,0,0,0,0,1,1,0
5805,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5808,12,12,12,,0,1,12,12,1,1,1,0,0,0,0,1
5810,1111,113,113,,0,0,113,113,1,0,0,1,0,0,0,0
5811,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5812,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5815,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5816,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5817,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5819,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5820,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5821,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5822,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5823,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5825,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5826,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5830,11,12,11,2,1,1,12,12,1,0,0,0,0,1,0,1
5831,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5832,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5834,123,123,123,,0,1,123,123,1,1,1,0,0,0,0,1
5835,12,12,12,,0,1,12,12,1,1,1,0,0,0,0,1
5836,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5839,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5840,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5841,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5842,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5848,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5849,12,11,11,,0,0,11,11,1,0,0,1,0,0,0,0
5850,1111,122,112,2,1,0,122,113,0,0,0,1,0,0,0,0
5851,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5852,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5853,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5854,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5855,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5856,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5857,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5858,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5859,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5861,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5862,112,122,112,2,1,1,122,122,1,0,0,0,0,1,0,1
5863,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5864,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5865,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5867,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5868,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5869,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5870,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5871,12,12,12,,0,1,12,12,1,1,1,0,0,0,0,1
5873,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5874,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5875,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5876,11,12,11,2,1,1,12,22,0,0,0,0,0,1,0,0
5877,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5878,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5879,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5880,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5881,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5882,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5883,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5884,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5885,1211,122,122,,0,0,122,122,1,0,0,1,0,0,0,0
5886,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5890,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5892,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5893,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5894,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5895,12,12,12,,0,1,12,22,0,0,0,0,0,1,1,0
5896,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5897,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5898,113,113,113,,0,1,113,123,0,0,0,0,0,1,1,0
5899,122,122,122,,0,1,122,122,1,1,1,0,0,0,0,1
5900,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5901,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5902,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5903,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5904,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5905,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5906,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5907,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5909,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5910,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5911,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5915,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5919,11,12,12,,0,0,12,12,1,0,0,1,0,0,0,0
5920,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5921,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5922,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5924,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5925,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5927,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5928,12,12,12,,0,1,12,12,1,1,1,0,0,0,0,1
5929,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5930,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5933,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
